experiment,timestamp,epochs,batchsize,units1,units2,learning_rate,optimizer,train_steps,valid_steps,final_train_loss,final_valid_loss,final_accuracy,final_epoch
epochs_3,20260105-164201,3,64,256,256,0.001,Adam,100,100,0.5260830521583557,0.4973929524421692,0.827343761920929,2
epochs_5,20260105-164211,5,64,256,256,0.001,Adam,100,100,0.4706946313381195,0.47236812114715576,0.8310937285423279,4
epochs_10,20260105-164222,10,64,256,256,0.001,Adam,100,100,0.39159539341926575,0.4155226945877075,0.8495312333106995,9
batchsize_4,20260105-164243,5,4,256,256,0.001,Adam,100,100,0.7840575575828552,0.8181244730949402,0.699999988079071,4
batchsize_8,20260105-164247,5,8,256,256,0.001,Adam,100,100,0.6277849078178406,0.6493309140205383,0.7425000071525574,4
batchsize_16,20260105-164251,5,16,256,256,0.001,Adam,100,100,0.5670267343521118,0.5532790422439575,0.8031250238418579,4
batchsize_32,20260105-164256,5,32,256,256,0.001,Adam,100,100,0.49496665596961975,0.5255150198936462,0.8196874856948853,4
batchsize_64,20260105-164302,5,64,256,256,0.001,Adam,100,100,0.45727694034576416,0.4586704671382904,0.8290625214576721,4
batchsize_128,20260105-164315,5,128,256,256,0.001,Adam,100,100,0.43626707792282104,0.4631659984588623,0.8277343511581421,4
depth_1,20260105-164331,5,64,256,256,0.001,Adam,100,100,0.46581852436065674,0.466578871011734,0.8401562571525574,4
depth_2,20260105-164339,5,64,256,256,0.001,Adam,100,100,0.4502323269844055,0.4661625623703003,0.8307812213897705,4
depth_3,20260105-164349,5,64,256,256,0.001,Adam,100,100,0.4697885513305664,0.4603143632411957,0.8357812762260437,4
lr_0.01,20260105-164359,5,64,256,256,0.01,Adam,100,100,0.4986454248428345,0.5621370673179626,0.8134375214576721,4
lr_0.005,20260105-164408,5,64,256,256,0.005,Adam,100,100,0.4749618172645569,0.5556221008300781,0.8081250190734863,4
lr_0.001,20260105-164420,5,64,256,256,0.001,Adam,100,100,0.461874783039093,0.4665798246860504,0.8218749761581421,4
lr_0.0005,20260105-164429,5,64,256,256,0.0005,Adam,100,100,0.5004928708076477,0.5079285502433777,0.8187500238418579,4
lr_0.0001,20260105-164439,5,64,256,256,0.0001,Adam,100,100,0.62715744972229,0.6147831678390503,0.7745312452316284,4
lr_1e-05,20260105-164449,5,64,256,256,1e-05,Adam,100,100,1.7318296432495117,1.6467901468276978,0.6467187404632568,4
optimizer_SGD,20260105-164503,5,64,256,256,0.001,SGD,100,100,2.2516117095947266,2.2452492713928223,0.19296875596046448,4
optimizer_Adam,20260105-164513,5,64,256,256,0.001,Adam,100,100,0.45247963070869446,0.4570080041885376,0.8339062333106995,4
optimizer_AdamW,20260105-164526,5,64,256,256,0.001,AdamW,100,100,0.45922988653182983,0.4614660143852234,0.8279687762260437,4
optimizer_RMSprop,20260105-164537,5,64,256,256,0.001,RMSprop,100,100,0.4549684524536133,0.518471896648407,0.7998437285423279,4
combined_config_1,20260105-164548,10,32,512,256,0.001,Adam,100,100,0.43348467350006104,0.44041046500205994,0.8368750214576721,9
combined_config_2,20260105-164607,10,64,256,128,0.0005,AdamW,100,100,0.41476547718048096,0.47575831413269043,0.827343761920929,9
combined_config_3,20260105-164634,5,128,128,64,0.001,Adam,100,100,0.4575939476490021,0.4612616002559662,0.8353124856948853,4
